block,combination,species,n_species,individ_transf_vol,total_transf_vol,destination_plate,destination_well
1,1,"['laji1', 'laji3', 'laji4', 'laji5', 'laji6']",5,12.0,60.0,Sarstedt 96 Well Plate 2200 µL on 2,A1
1,2,['laji4'],1,60.0,60.0,Sarstedt 96 Well Plate 2200 µL on 2,B1
1,3,"['laji1', 'laji4', 'laji5', 'laji6']",4,15.0,60.0,Sarstedt 96 Well Plate 2200 µL on 2,C1
1,4,"['laji1', 'laji3', 'laji4']",3,20.0,60.0,Sarstedt 96 Well Plate 2200 µL on 2,D1
1,5,"['laji2', 'laji4', 'laji6']",3,20.0,60.0,Sarstedt 96 Well Plate 2200 µL on 2,E1
1,6,"['laji1', 'laji2']",2,30.0,60.0,Sarstedt 96 Well Plate 2200 µL on 2,F1
1,7,['laji6'],1,60.0,60.0,Sarstedt 96 Well Plate 2200 µL on 2,G1
1,8,"['laji1', 'laji2', 'laji4', 'laji5', 'laji6']",5,12.0,60.0,Sarstedt 96 Well Plate 2200 µL on 2,H1
1,9,['laji3'],1,60.0,60.0,Sarstedt 96 Well Plate 2200 µL on 2,A2
1,10,"['laji2', 'laji6']",2,30.0,60.0,Sarstedt 96 Well Plate 2200 µL on 2,B2
1,11,"['laji3', 'laji5', 'laji6']",3,20.0,60.0,Sarstedt 96 Well Plate 2200 µL on 2,C2
1,12,"['laji1', 'laji3', 'laji5']",3,20.0,60.0,Sarstedt 96 Well Plate 2200 µL on 2,D2
1,13,['laji5'],1,60.0,60.0,Sarstedt 96 Well Plate 2200 µL on 2,E2
1,14,['laji2'],1,60.0,60.0,Sarstedt 96 Well Plate 2200 µL on 2,F2
1,15,"['laji1', 'laji2', 'laji3', 'laji6']",4,15.0,60.0,Sarstedt 96 Well Plate 2200 µL on 2,G2
1,16,"['laji1', 'laji5']",2,30.0,60.0,Sarstedt 96 Well Plate 2200 µL on 2,H2
1,17,"['laji1', 'laji2', 'laji4']",3,20.0,60.0,Sarstedt 96 Well Plate 2200 µL on 2,A3
1,18,"['laji2', 'laji3', 'laji4', 'laji6']",4,15.0,60.0,Sarstedt 96 Well Plate 2200 µL on 2,B3
1,19,"['laji1', 'laji3', 'laji4', 'laji5']",4,15.0,60.0,Sarstedt 96 Well Plate 2200 µL on 2,C3
1,20,"['laji1', 'laji2', 'laji5', 'laji6']",4,15.0,60.0,Sarstedt 96 Well Plate 2200 µL on 2,D3
1,21,"['laji2', 'laji3', 'laji4', 'laji5']",4,15.0,60.0,Sarstedt 96 Well Plate 2200 µL on 2,E3
1,22,"['laji2', 'laji3', 'laji4', 'laji5', 'laji6']",5,12.0,60.0,Sarstedt 96 Well Plate 2200 µL on 2,F3
1,23,"['laji3', 'laji6']",2,30.0,60.0,Sarstedt 96 Well Plate 2200 µL on 2,G3
1,24,"['laji1', 'laji3', 'laji6']",3,20.0,60.0,Sarstedt 96 Well Plate 2200 µL on 2,H3
1,25,"['laji3', 'laji4', 'laji5']",3,20.0,60.0,Sarstedt 96 Well Plate 2200 µL on 2,A4
1,26,"['laji1', 'laji2', 'laji6']",3,20.0,60.0,Sarstedt 96 Well Plate 2200 µL on 2,B4
1,27,"['laji1', 'laji2', 'laji4', 'laji6']",4,15.0,60.0,Sarstedt 96 Well Plate 2200 µL on 2,C4
1,28,"['laji2', 'laji4', 'laji5']",3,20.0,60.0,Sarstedt 96 Well Plate 2200 µL on 2,D4
